Currency,Date,"Buy Rate","Sell Rate"

USD,2026-02-18,305.6761,313.2117
USD,2026-02-17,305.4869,313.0220
USD,2026-02-16,305.4790,313.0141
USD,2026-02-13,305.5237,313.0589
USD,2026-02-12,305.6498,313.1854
USD,2026-02-11,305.6707,313.2066
USD,2026-02-10,305.7602,313.2961
USD,2026-02-09,305.7260,313.2618
USD,2026-02-06,305.6576,313.1934
USD,2026-02-05,305.7890,313.3251
USD,2026-02-03,305.8389,313.3753
USD,2026-02-02,305.5893,313.1248
USD,2026-01-30,305.6681,313.2039
USD,2026-01-29,305.9414,313.4780
USD,2026-01-28,305.9807,313.5176
USD,2026-01-27,305.8337,313.3699
USD,2026-01-26,306.0306,313.5677
USD,2026-01-23,305.9728,313.5098
USD,2026-01-22,305.9544,313.4913
USD,2026-01-21,305.8941,313.4306
USD,2026-01-20,305.9544,313.4913
USD,2026-01-19,305.9570,313.4940
USD,2026-01-16,305.6708,313.2065
USD,2026-01-14,305.4368,312.9720
USD,2026-01-13,305.3503,312.8849
USD,2026-01-12,305.5393,313.0748
USD,2026-01-09,305.6261,313.1618
USD,2026-01-08,306.3248,313.8457
USD,2026-01-07,306.2802,313.8181
USD,2026-01-06,306.2303,313.7680
USD,2026-01-05,306.1175,313.6282
USD,2026-01-02,305.7389,313.2752
USD,2026-01-01,305.8354,313.4295
USD,2025-12-31,306.2933,313.8313
USD,2025-12-30,306.1279,313.7178
USD,2025-12-29,305.8808,313.4702
USD,2025-12-26,305.8098,313.3991
USD,2025-12-24,305.8097,313.3991
USD,2025-12-23,305.7625,313.3516
USD,2025-12-22,305.7285,313.3304
USD,2025-12-19,305.6312,313.2461
USD,2025-12-18,305.8439,313.4597
USD,2025-12-17,305.6811,313.2962
USD,2025-12-16,305.5704,313.1685
USD,2025-12-15,305.3475,312.9482
USD,2025-12-12,305.3238,312.9114
USD,2025-12-11,305.0376,312.6108
USD,2025-12-10,304.8510,312.4237
USD,2025-12-09,304.8300,312.4026
USD,2025-12-08,304.8091,312.3946
USD,2025-12-05,305.0008,312.5739
USD,2025-12-03,305.0480,312.6214
USD,2025-12-02,304.8169,312.3894
USD,2025-12-01,304.3910,311.9496
USD,2025-11-28,304.2467,311.8044
USD,2025-11-27,304.2258,311.7832
USD,2025-11-26,304.2022,311.7594
USD,2025-11-25,304.0655,311.5829
USD,2025-11-24,304.1023,311.6461
USD,2025-11-21,304.2758,311.8332
USD,2025-11-20,304.4463,312.0048
USD,2025-11-19,304.3465,311.9177
USD,2025-11-18,303.3219,311.0029
USD,2025-11-17,303.1511,310.8580
USD,2025-11-14,301.9112,309.6114
USD,2025-11-13,300.8487,308.3478
USD,2025-11-12,300.5885,308.0733
USD,2025-11-11,300.5068,307.9643
USD,2025-11-10,301.0980,308.5743
USD,2025-11-07,301.1033,308.6506
USD,2025-11-06,300.9744,308.5374
USD,2025-11-04,300.7173,308.2082
USD,2025-11-03,300.7068,308.1977
USD,2025-10-31,300.6121,308.1077
USD,2025-10-30,300.6962,308.2056
USD,2025-10-29,300.4515,307.9432
USD,2025-10-28,300.4858,308.0090
USD,2025-10-27,299.9868,307.5172
USD,2025-10-24,299.8138,307.3223
USD,2025-10-23,299.8008,307.1427
USD,2025-10-22,299.3865,306.8656
USD,2025-10-21,299.2292,306.7182
USD,2025-10-17,299.2450,306.7603
USD,2025-10-16,299.1596,306.6449
USD,2025-10-15,299.0754,306.5607
USD,2025-10-14,298.8494,306.3310
USD,2025-10-13,298.8846,306.3702
USD,2025-10-10,298.9845,306.4597
USD,2025-10-09,298.9214,306.3939
USD,2025-10-08,298.7889,306.2968
USD,2025-10-07,298.7404,306.2386
USD,2025-10-03,298.7693,306.2675
USD,2025-10-02,298.7798,306.2781
USD,2025-10-01,298.7904,306.2912
USD,2025-09-30,298.7784,306.2994
USD,2025-09-29,298.7693,306.2965
USD,2025-09-26,298.8679,306.1151
USD,2025-09-25,298.8575,306.0913
USD,2025-09-24,298.7641,306.2780
USD,2025-09-23,298.7220,306.2491
USD,2025-09-22,298.6580,306.1729
USD,2025-09-19,298.2767,305.8090
USD,2025-09-18,298.2306,305.7537
USD,2025-09-17,298.2977,305.8327
USD,2025-09-16,298.3161,305.8511
USD,2025-09-15,298.2516,305.7773
USD,2025-09-12,298.1194,305.6536
USD,2025-09-11,298.2674,305.7747
USD,2025-09-10,298.2463,305.7537
USD,2025-09-09,298.2590,305.7668
USD,2025-09-08,298.2616,305.7695
USD,2025-09-04,298.2924,305.8275
USD,2025-09-03,298.4404,305.9669
USD,2025-09-02,298.2426,305.8206
USD,2025-09-01,298.3056,305.8196
USD,2025-08-29,298.6273,306.1596
USD,2025-08-28,298.6483,306.1754
USD,2025-08-27,298.4923,306.0307
USD,2025-08-26,298.4738,306.0118
USD,2025-08-25,298.2358,305.7616
USD,2025-08-22,298.1279,305.6536
USD,2025-08-21,297.9160,305.5639
USD,2025-08-20,297.7433,305.2961
USD,2025-08-19,297.5020,305.0432
USD,2025-08-18,297.2580,304.8142
USD,2025-08-15,297.3496,304.8688
USD,2025-08-14,297.1871,304.6897
USD,2025-08-13,297.2108,304.7082
USD,2025-08-12,297.0754,304.6112
USD,2025-08-11,296.8184,304.6423
USD,2025-08-07,297.0504,304.7190
USD,2025-08-06,297.1004,304.6196
USD,2025-08-05,297.2128,304.7188
USD,2025-08-04,297.4318,305.0923
USD,2025-08-01,298.1746,305.7890
USD,2025-07-31,298.3293,305.8759
USD,2025-07-30,298.3030,305.8575
USD,2025-07-29,298.1872,305.7939
USD,2025-07-28,298.1274,305.6652
USD,2025-07-25,298.0459,305.5809
USD,2025-07-24,298.0302,305.5650
USD,2025-07-23,297.9960,305.5172
USD,2025-07-22,297.9880,305.5256
USD,2025-07-21,297.8802,305.4198
USD,2025-07-18,297.6835,305.2223
USD,2025-07-17,297.6467,305.1196
USD,2025-07-16,297.3050,304.8108
USD,2025-07-15,297.2345,304.7371
USD,2025-07-14,297.1393,304.7196
USD,2025-07-11,296.8506,304.4360
USD,2025-07-09,297.0614,304.6613
USD,2025-07-08,297.3669,305.0278
USD,2025-07-07,296.2488,303.9728
USD,2025-07-04,296.1321,304.0227
USD,2025-07-03,295.8533,304.2734
USD,2025-07-02,295.8616,304.2846
USD,2025-07-01,295.9104,304.2912
USD,2025-06-30,295.8348,304.1589
USD,2025-06-27,295.8606,304.1884
USD,2025-06-26,295.8582,304.2223
USD,2025-06-25,296.2475,304.6388
USD,2025-06-24,296.6720,305.0691
USD,2025-06-23,296.5605,304.9807
USD,2025-06-20,296.5205,304.8843
USD,2025-06-19,296.4263,304.7706
USD,2025-06-18,296.8200,305.1979
USD,2025-06-17,296.8621,305.2326
USD,2025-06-16,295.7511,304.0563
USD,2025-06-13,294.9918,303.2999
USD,2025-06-12,294.8708,303.1787
USD,2025-06-11,294.9734,303.2972
USD,2025-06-09,294.9944,303.3183
USD,2025-06-06,294.9831,303.4025
USD,2025-06-05,295.1542,303.4842
USD,2025-06-04,295.2542,303.6159
USD,2025-06-03,295.3751,303.7113
USD,2025-06-02,295.3567,303.7455
USD,2025-05-30,295.1744,303.6807
USD,2025-05-29,295.3093,303.7924
USD,2025-05-28,295.5596,304.0121
USD,2025-05-27,295.4449,303.9290
USD,2025-05-26,295.2405,303.7056
USD,2025-05-23,295.1831,303.5843
USD,2025-05-22,295.4193,303.7981
USD,2025-05-21,296.2017,304.6104
USD,2025-05-20,295.8167,304.3295
USD,2025-05-19,294.9858,303.4859
USD,2025-05-16,294.3034,302.6561
USD,2025-05-15,294.3475,302.7226
USD,2025-05-14,294.6973,303.0575
USD,2025-05-09,294.8838,303.2446
USD,2025-05-08,295.0738,303.5640
USD,2025-05-07,295.3067,303.6686
USD,2025-05-06,295.1849,303.6784
USD,2025-05-05,295.2043,303.6974
USD,2025-05-02,295.1794,303.7007
USD,2025-04-30,295.3908,303.7534
USD,2025-04-29,295.3977,303.7976
USD,2025-04-28,295.3978,304.0396
USD,2025-04-25,295.5682,304.2318
USD,2025-04-24,295.5080,304.1636
USD,2025-04-23,295.4634,304.1056
USD,2025-04-22,295.1061,303.7968
USD,2025-04-21,294.6708,303.3271
USD,2025-04-17,294.3851,303.0313
USD,2025-04-16,293.9185,302.6158
USD,2025-04-11,294.2887,303.1241
USD,2025-04-10,294.1305,303.2612
USD,2025-04-09,295.8628,304.4215
USD,2025-04-08,293.4455,302.1451
USD,2025-04-07,292.4976,301.0425
USD,2025-04-04,292.5116,301.1496
USD,2025-04-03,292.0185,300.6875
USD,2025-04-02,291.8882,300.3935
USD,2025-04-01,291.9591,300.4758
USD,2025-03-28,292.0669,300.5806
USD,2025-03-27,292.1064,300.6258
USD,2025-03-26,292.3299,300.8497
USD,2025-03-25,292.4845,301.0025
USD,2025-03-24,292.4009,300.9156
USD,2025-03-21,292.2590,300.7575
USD,2025-03-20,292.1879,300.6864
USD,2025-03-19,291.8071,300.3172
USD,2025-03-18,292.0043,300.6011
USD,2025-03-17,292.5401,300.9558
USD,2025-03-14,291.2556,299.7977
USD,2025-03-12,291.2556,299.7977
USD,2025-03-11,291.2609,299.8003
USD,2025-03-10,291.2530,299.7924
USD,2025-03-07,291.3003,299.8398
USD,2025-03-06,291.3211,299.8506
USD,2025-03-05,290.9511,299.5180
USD,2025-03-04,290.9982,299.5914
USD,2025-03-03,291.0558,299.6160
USD,2025-02-28,291.1925,299.7397
USD,2025-02-27,291.4049,299.9800
USD,2025-02-25,291.4390,300.0011
USD,2025-02-24,291.5126,300.0880
USD,2025-02-21,291.7722,300.3068
USD,2025-02-20,292.7290,301.3006
USD,2025-02-19,292.5502,301.1649
USD,2025-02-18,291.2807,299.8141
USD,2025-02-17,291.3447,299.9921
USD,2025-02-14,291.5757,300.1249
USD,2025-02-13,292.6159,301.1953
USD,2025-02-11,292.7919,301.3398
USD,2025-02-10,293.1833,301.7436
USD,2025-02-07,294.2414,302.8981
USD,2025-02-06,294.5084,303.1764
USD,2025-02-05,295.5140,304.1372
USD,2025-02-03,294.4739,303.1114
USD,2025-01-31,293.2328,301.9936
USD,2025-01-30,292.4561,301.1598
USD,2025-01-29,292.9214,301.6055
USD,2025-01-28,294.1801,302.8942
USD,2025-01-27,294.0153,302.7727
USD,2025-01-24,294.4174,303.1063
USD,2025-01-23,294.4667,303.2450
USD,2025-01-22,293.4537,302.0200
USD,2025-01-21,292.8301,301.3321
USD,2025-01-20,292.2957,300.8181
USD,2025-01-17,292.2195,300.6917
USD,2025-01-16,291.3844,299.9321
USD,2025-01-15,290.7448,299.2836
USD,2025-01-10,290.6412,299.2063
USD,2025-01-09,291.7598,300.3145
USD,2025-01-08,286.4663,300.5203
USD,2025-01-07,291.3228,299.9224
USD,2025-01-06,289.7210,298.4165
USD,2025-01-03,289.0755,297.6410
USD,2025-01-02,289.0044,297.5884
USD,2025-01-01,289.0808,297.6536
USD,2024-12-31,288.3293,297.0162
USD,2024-12-30,288.3393,297.0686
USD,2024-12-27,289.4972,298.2950
USD,2024-12-26,290.7182,299.5208
USD,2024-12-24,292.2525,300.9844
USD,2024-12-23,289.7312,298.5262
USD,2024-12-20,288.5761,297.3339
USD,2024-12-19,287.4564,296.0725
USD,2024-12-18,286.8689,295.5003
USD,2024-12-17,286.4435,295.0915
USD,2024-12-16,285.9908,294.5610
USD,2024-12-13,285.9209,294.4910
USD,2024-12-12,285.9466,294.5168
USD,2024-12-11,285.9946,294.6048
USD,2024-12-10,286.0210,294.6338
USD,2024-12-09,286.1018,294.7043
USD,2024-12-06,286.0210,294.6180
USD,2024-12-05,286.0964,294.6938
USD,2024-12-04,286.1920,294.8080
USD,2024-12-03,286.3884,294.9861
USD,2024-12-02,286.3962,294.9730
USD,2024-11-29,286.3163,295.0450
USD,2024-11-28,286.5734,295.5806
USD,2024-11-27,286.7016,295.6966
USD,2024-11-26,286.6622,295.6702
USD,2024-11-25,286.5102,295.5174
USD,2024-11-22,286.4406,295.4521
USD,2024-11-21,286.5445,295.5515
USD,2024-11-20,286.5525,295.5988
USD,2024-11-19,286.7471,295.7679
USD,2024-11-18,287.4951,296.4799
USD,2024-11-14,287.7253,296.7260
USD,2024-11-13,287.9534,296.9762
USD,2024-11-12,288.1975,297.2248
USD,2024-11-11,288.1635,297.1536
USD,2024-11-08,288.1320,297.1876
USD,2024-11-07,288.4047,297.4881
USD,2024-11-06,288.5439,297.6284
USD,2024-11-05,288.6776,297.7236
USD,2024-11-04,288.5542,297.6042
USD,2024-11-01,288.5988,297.6445
USD,2024-10-30,289.0630,298.1487
USD,2024-10-29,289.0815,298.1697
USD,2024-10-28,289.0657,298.1140
USD,2024-10-25,289.1548,298.2096
USD,2024-10-24,289.0028,298.1109
USD,2024-10-23,288.6278,297.6261
USD,2024-10-22,288.6592,297.6578
USD,2024-10-21,288.6142,297.6054
USD,2024-10-18,288.5261,297.5357
USD,2024-10-16,288.9191,297.9190
USD,2024-10-15,289.1796,298.1775
USD,2024-10-14,288.5097,297.4942
USD,2024-10-11,288.4602,297.4621
USD,2024-10-10,288.6646,297.6682
USD,2024-10-09,288.5806,297.6233
USD,2024-10-08,288.9611,298.0322
USD,2024-10-07,289.5779,298.6870
USD,2024-10-04,289.4949,298.4983
USD,2024-10-03,291.9436,301.1694
USD,2024-10-02,290.3097,299.3572
USD,2024-10-01,292.0000,301.0564
USD,2024-09-30,293.5054,302.5647
USD,2024-09-27,295.3030,304.3376
USD,2024-09-26,295.8071,304.9150
USD,2024-09-25,297.9555,307.3183
USD,2024-09-24,299.7192,309.0850
USD,2024-09-23,300.1800,309.2836
USD,2024-09-20,299.9417,309.2309
USD,2024-09-19,299.2026,308.5712
USD,2024-09-18,297.7271,307.0166
USD,2024-09-13,296.4599,305.7780
USD,2024-09-12,296.4174,305.6915
USD,2024-09-11,296.0824,305.3639
USD,2024-09-10,296.9231,306.3564
USD,2024-09-09,294.5968,303.8148
USD,2024-09-06,294.1826,303.3974
USD,2024-09-05,294.3660,303.5903
USD,2024-09-04,294.4895,303.7063
USD,2024-09-03,294.6561,303.8345
USD,2024-09-02,294.7836,303.8481
USD,2024-08-30,295.3866,304.5824
USD,2024-08-29,295.9008,305.1266
USD,2024-08-28,295.8172,305.0549
USD,2024-08-27,296.3680,305.6146
USD,2024-08-26,295.3731,304.6485
USD,2024-08-23,296.5514,305.8076
USD,2024-08-22,295.7249,305.0419
USD,2024-08-21,295.2072,304.4523
USD,2024-08-20,294.3604,303.5775
USD,2024-08-16,294.3160,303.5267
USD,2024-08-15,294.5113,303.7761
USD,2024-08-14,294.5495,303.8200
USD,2024-08-13,295.0812,304.2751
USD,2024-08-12,295.4154,304.6641
USD,2024-08-09,296.2860,305.4598
USD,2024-08-08,297.0104,306.2824
USD,2024-08-07,297.5065,306.7677
USD,2024-08-06,297.6981,306.9872
USD,2024-08-05,297.3390,306.6515
USD,2024-08-02,297.6430,306.9317
