Date,Offered_Quantity,Sold_Quantity,Avg_Price_Rs./1000
02/01/2026,574696,474468,114792.59
08/01/2026,686281,424248,112860.00
14/01/2026,526437,229781,107340.02
22/01/2026,520378,215750,90652.93
29/01/2026,777625,474508,89395.03
05/02/2026,878574,550446,98126.20
12/02/2026,568889,385476,105689.63
02/01/2025,279102,267138,129699.00
09/01/2025,239829,238624,145687.00
23/01/2025,172462,114800,140000.00
30/01/2025,82257,82257,140000.00
06/02/2025,177362,173007,140000.00
13/02/2025,21569,21569,140000.00
06/03/2025,316427,228906,145345.74
14/03/2025,243247,178309,135731.72
20/03/2025,202941,164976,146158.00
03/04/2025,362016,345342,174601.50
10/04/2025,227487,193003,179497.23
24/04/2025,226241,226241,181915.68
02/05/2025,268411,248632,172144.61
08/05/2025,413620,348864,160464.02
16/05/2025,380317,293934,165533.82
27/05/2025,442110,383879,162069.67
05/06/2025,748079,262481,143239.46
12/06/2025,943906,756652,124830.70
19/06/2025,517354,463575,125575.70
26/06/2025,453733,410323,118117.37
03/07/2025,676657,613495,114779.06
11/07/2025,856780,763665,115659.98
17/07/2025,402742,381624,126537.80
24/07/2025,598139,582364,149468.77
07/08/2025,751836,523823,141295.81
14/08/2025,658480,582000,133623.91
21/08/2025,551525,519803,134068.09
28/08/2025,639098,531960,144000.12
04/09/2025,918522,813263,144210.23
11/09/2025,516578,374010,141760.77
18/09/2025,484329,424123,133686.72
25/09/2025,394279,350130,129732.23
02/10/2025,682300,578265,138581.96
09/10/2025,717319,617850,136059.65
17/10/2025,361926,272939,134860.29
23/10/2025,302679,214469,128060.00
30/10/2025,347005,288464,129171.51
06/11/2025,540267,463909,122493.58
13/11/2025,274450,52106,122336.35
20/11/2025,449836,283283,108778.10
27/11/2025,508003,334453,108996.05
05/12/2025,278887,174894,114559.44
11/12/2025,409302,278343,112740.72
18/12/2025,303207,207110,118723.00
04/01/2024,789094,704931,70067.49
11/01/2024,684847,567968,64958.37
18/01/2024,381424,174947,66198.81
26/01/2024,416764,358335,64377.65
01/02/2024,448746,448746,68634.37
08/02/2024,698941,612643,69751.43
15/02/2024,390327,305259,64751.88
22/02/2024,411514,313334,70593.37
29/02/2024,411631,325591,73962.70
07/03/2024,842503,560210,72030.38
14/03/2024,688563,551976,68678.51
21/03/2024,555561,334246,69225.54
28/03/2024,645891,364798,70405.94
04/04/2024,1381693,899483,65221.38
18/04/2024,1136414,516490,64094.03
25/04/2024,811217,360531,63231.98
02/05/2024,873957,559639,62948.59
09/05/2024,1326220,685218,62998.98
16/05/2024,876993,698103,64345.69
22/05/2024,392955,306490,71081.78
30/05/2024,316756,248939,75784.05
06/06/2024,879016,705561,76161.92
13/06/2024,844787,732443,77314.47
20/06/2024,415902,383149,81288.87
27/06/2024,337179,324726,83443.94
04/07/2024,822889,773377,79599.03
11/07/2024,522673,493874,82616.42
18/07/2024,397773,352055,84592.29
25/07/2024,368561,334098,85516.69
01/08/2024,573866,550139,85087.78
08/08/2024,693476,606942,88342.82
15/08/2024,650327,598075,92913.04
22/08/2024,294880,275916,94275.85
29/08/2024,573180,544216,92107.47
05/09/2024,690523,642273,87695.45
12/09/2024,545013,439891,86832.66
26/09/2024,620006,566235,90149.22
03/10/2024,637099,609529,93865.10
10/10/2024,568859,532346,101177.51
24/10/2024,413429,307435,105000.00
01/11/2024,449698,405579,100000.00
07/11/2024,641724,574938,99959.25
13/11/2024,284870,231221,99684.19
28/112024,527199,424157,109615.80
05/01/2023,800438,655086,82452.09
12/01/2023,415059,317407,79037.36
19/01/2023,538269,422970,84116.85
26/01/2023,469564,300983,80811.89
02/02/2023,593513,370006,75396.69
09/02/2023,778515,694723,73480.97
16/02/2023,339874,298128,80736.72
23/02/2023,399797,358567,85014.15
02/03/2023,711308,579801,84355.08
09/03/2023,876948,658494,82151.06
16/03/2023,574807,416815,82260.58
23/03/2023,900010,583291,"83,219..45"
30/03/2023,1122984,780932,78225.84
06/04/2023,1394310,1005534,73367.88
20/04/2023,969816,770670,72796.05
27/04/2023,642215,575824,69687.49
04/05/2023,1286099,969609,64375.81
11/05/2023,828387,475826,64440.15
18.05/2023,936758,690112,66301.51
25/05/2023,678770,512848,69699.63
01/06/2023,850576,718923,72846.66
08/06/2023,1253413,895732,66691.43
15/06/2023,976552,506757,66547.12
22/06/2023,1235876,743026,62962.08
30/06/2023,1137875,843161,61254.54
06/07/2023,1687359,1178252,59203.74
13/07/2023,930510,733091,62570.02
20/07/2023,840484,766973,67163.12
27/07/2023,827180,774031,68568.39
03/08/2023,1013820,819023,63749.69
10/08/2023,1244859,1039957,62531.91
17/08/2023,803990,580709,61455.23
24/08/2023,690347,459085,61022.09
31/08/2023,939032,608053,58906.84
07/09/2023,1297915,800261,59320.62
14/09/2023,862989,742070,60985.19
21/09/2023,567258,360087,64231.01
27/09/2023,653975,538078,63790.00
